#level(等级)  HP(体力值)  MP(法力值)    背包负重
1 19 15 50
2 24 18 51
3 30 21 53
4 37 25 55
5 44 29 58
6 52 32 62
7 60 35 66
8 69 39 71
9 79 43 77
10 89 46 83
11 100 49 90
12 111 53 98
13 123 57 106
14 136 60 115
15 149 63 125
16 163 67 135
17 177 71 146
18 192 74 158
19 208 77 170
20 224 81 183
21 241 85 197
22 258 88 211
23 276 91 226
24 295 95 242
25 314 99 258
26 334 102 275
27 354 105 293
28 375 109 311
29 397 113 330
30 419 116 350
31 442 119 370
32 465 123 391
33 489 127 413
34 514 130 435
35 539 133 458
36 565 137 482
37 591 141 506
38 618 144 531
39 646 147 557
40 674 151 583
